Organism
<organism> Homo sapiens </organism>
<organism> Homo sapiens </organism>
<organism> Mus musculus </organism>
<organism> Arabidopsis thaliana </organism>
<organism> Mus musculus </organism>
<organism>  </organism>
<organism>  </organism>
<organism> Arabidopsis thaliana </organism>
<organism> Homo sapiens </organism>
<organism> Caenorhabditis elegans </organism>
<organism> Mus musculus </organism>
<organism> Mus musculus </organism>
<organism>  </organism>
<organism> Mus musculus </organism>
<organism> Mus musculus </organism>
<organism> Oryza sativa </organism>
<organism>  </organism>
<organism> Acinetobacter radioresistensAranicola proteolyticusBacillus horneckiaeBacillus nealsonii </organism>
<organism> Mus musculus </organism>
<organism>  </organism>
<organism> Mus musculus </organism>
<organism> Arabidopsis thaliana </organism>
<organism> Arabidopsis thaliana </organism>
<organism>  </organism>
<organism> Methylobacterium sp.Methylorubrum rhodesianum </organism>
<organism> Mus musculus </organism>
<organism>  </organism>
<organism> Saccharomyces cerevisiae </organism>
<organism> Chlamydomonas reinhardtii </organism>
<organism> Mus musculus </organism>
<organism> Mus musculus </organism>
<organism> Rhodotorula mucilaginosa </organism>
<organism> Arabidopsis thaliana </organism>
<organism>  </organism>
<organism>  </organism>
<organism> Drosophila melanogaster </organism>
<organism>  </organism>
<organism>  </organism>
<organism> Mus musculus </organism>
<organism>  </organism>
<organism> Escherichia coli </organism>
<organism> Caenorhabditis elegans </organism>
<organism> cellular organisms </organism>
<organism> Homo sapiens </organism>
<organism>  </organism>
<organism> Mus musculus </organism>
<organism> Mus musculus </organism>
<organism>  </organism>
<organism> Mus musculus </organism>
<organism> Homo sapiens </organism>
<organism>  </organism>
<organism> Mus musculus </organism>
<organism> Caenorhabditis elegans </organism>
<organism> Mus musculus </organism>
<organism> Mus musculus </organism>
<organism> Mus musculus </organism>
<organism> Drosophila melanogaster </organism>
<organism> Homo sapiens </organism>
<organism> Caenorhabditis elegans </organism>
<organism> Mus musculus </organism>
<organism> Microbiota </organism>
<organism> Mus musculus </organism>
<organism> Homo sapiens </organism>
<organism>  </organism>
<organism> Homo sapiens </organism>
<organism> Mus musculus </organism>
<organism> Homo sapiens </organism>
<organism> Helix lucorum </organism>
<organism> Arabidopsis thaliana </organism>
<organism> Mus musculus </organism>
<organism> Homo sapiens </organism>
<organism> Arabidopsis thaliana </organism>
<organism> Mus musculus </organism>
<organism>  </organism>
<organism> Homo sapiens </organism>
<organism> cellular organisms </organism>
<organism> Acinetobacter radioresistensAranicola proteolyticusBacillus horneckiaeBacillus nealsonii </organism>
<organism>  </organism>
<organism> Mus musculus </organism>
<organism>  </organism>
<organism> Microbiota </organism>
<organism> Staphylococcus aureus </organism>
<organism> Mus musculus </organism>
<organism> Mus musculus </organism>
<organism> Arabidopsis thaliana </organism>
<organism> Microbiota </organism>
<organism>  </organism>
<organism> Homo sapiens </organism>
<organism> Rattus norvegicus </organism>
<organism>  </organism>
<organism>  </organism>
<organism> Homo sapiens </organism>
<organism> Homo sapiens </organism>
<organism> Mus musculus </organism>
<organism> Caenorhabditis elegans </organism>
<organism>  </organism>
<organism> Microbiota </organism>
<organism> Drosophila melanogaster </organism>
<organism> Aspergillus fumigatus </organism>
<organism> Homo sapiens </organism>
<organism>  </organism>
<organism> Mus musculus </organism>
<organism> Drosophila melanogaster </organism>
<organism> Mus musculus </organism>
<organism> Streptococcus mutans </organism>
<organism> Mus musculus </organism>
<organism> Mus musculus </organism>
<organism> Mus musculus </organism>
<organism> Mus musculus </organism>
<organism> Saccharomyces cerevisiae </organism>
<organism> Drosophila melanogaster </organism>
<organism> Homo sapiens </organism>
<organism> Homo sapiens </organism>
<organism>  </organism>
<organism> Mus musculus </organism>
<organism> Rattus norvegicus </organism>
<organism> Mus musculus </organism>
<organism> Caenorhabditis elegans </organism>
<organism>  </organism>
<organism> cellular organisms </organism>
<organism> Homo sapiens </organism>
<organism> Homo sapiens </organism>
<organism>  </organism>
<organism> Rattus norvegicus </organism>
<organism> Microbiota </organism>
<organism>  </organism>
<organism> Aspergillus niger </organism>
<organism> Mus musculus </organism>
<organism>  </organism>
<organism> Homo sapiens </organism>
<organism>  </organism>
<organism> Mus musculus </organism>
<organism>  </organism>
<organism> Bacillus subtilis </organism>
<organism> Homo sapiens </organism>
<organism> Mus musculus </organism>
<organism> Escherichia coli </organism>
<organism> Mus musculus </organism>
<organism> Mus musculus </organism>
<organism> Arabidopsis thaliana </organism>
<organism> Caenorhabditis elegans </organism>
<organism> Solibacillus kalamii </organism>
<organism> Mus musculus </organism>
<organism> Mus musculus </organism>
<organism> Arabidopsis thaliana </organism>
<organism> Microbiota </organism>
<organism> Helix lucorum </organism>
<organism>  </organism>
<organism> Rattus norvegicus </organism>
<organism>  </organism>
